text,read_code,read_term
Multiple retinal defects without detachment,F4133,Multiple retinal defects without detachment
Choroidal haemorrhage and rupture,F436.,Choroidal haemorrhage and rupture
Cataract,F46..,Cataract
Drug-induced cataract,F4644,Drug induced cataract
Toxic cataract not due to drugs,F4645,Toxic cataract not due to drugs
Anisometropia and aniseikonia,F473.,Anisometropia and aniseikonia
Stimulus deprivation amblyopia,F480.,Amblyopia ex anopsia
Binocular vision suppression,F4831,Binocular vision suppression
Oculomotor apraxia,F4835,Oculomotor apraxia
Blindness - both eyes,F490.,"Blindness, both eyes"
"One eye blind, one eye low vision",F4910,"One eye blind, one eye low vision"
"Low vision, both eyes",F492.,"Low vision, both eyes"
Legal blindness USA,F494.,Legal blindness USA
"Profound impairment, one eye",F495.,"Profound impairment, one eye"
"Low vision, one eye",F496.,"Low vision, one eye"
Corneal scars and opacities,F4B0.,Corneal scars and opacities
Conjunctival vascular disorders and cysts,F4C7.,Conjunctival vascular disorders and cysts
Conjunctival hyperaemia,F4C70,Hyperaemia of conjunctiva
Conjunctival cyst,F4C78,Conjunctival cysts
Filarial infection of conjunctiva,F4Cy0,Filarial infection of conjunctiva
Parasitic eyelid infestation,F4D6.,Parasitic eyelid infestation
Sensory disorder of eyelid,F4E42,Sensory disorders of eyelid
Deficient blink reflex,F4E43,Deficient blink reflex
Degenerative disorders of eyelids and periocular area,F4E5.,Degenerative disorders of eyelids and periocular area
Swelling of eyelid,F4Ey7,Swelling of eyelid
Acquired stenosis of nasolacrimal duct,F4F55,Acquired nasolacrimal duct stenosis
Orbital cellulitis,F4G01,Orbital cellulitis
Exophthalmos due to orbital haemorrhage,F4G32,Exophthalmos due to orbital haemorrhage
Vitreous syndrome following cataract surgery,F4K2D,Vitreous syndrome following cataract surgery
Retrobulbar haemorrhage,F4K7.,Retrobulbar haemorrhage
Infective otitis externa due to erysipelas,F5014,Infective otitis externa due to erysipelas
Infective otitis externa due to impetigo,F5017,Infective otitis externa due to impetigo
Furunculosis of external auditory meatus,F5018,Furunculosis of external auditory meatus
Chronic otitis externa due to aspergillosis,F501B,Chronic otitis externa due to aspergillosis
Chronic otitis externa due to moniliasis,F501C,Chronic otitis externa due to moniliasis
Acute radiation otitis externa,F5021,Acute radiation otitis externa
Non-infectious pinna disorders,F503.,Noninfectious pinna disorders
Non-suppurative otitis media with eustachian tube disorders,F51..,Nonsuppurative otitis media + eustachian tube disorders
Acute non-suppurative otitis media - serous,F5101,Acute serous otitis media
Acute eustachian tube salpingitis,F5151,Acute eustachian tube salpingitis
Chronic eustachian tube salpingitis,F5152,Chronic eustachian tube salpingitis
Osseous eustachian tube obstruction,F5161,Osseous eustachian tube obstruction
Cartilaginous eustachian tube obstruction,F5162,Cartilaginous eustachian tube obstruction
Acute suppurative otitis media,F520.,Acute suppurative otitis media
Acute suppurative otitis media due to another disease,F5203,Acute suppurative otitis media due to disease EC
Recurrent acute otitis media,F525.,Recurrent acute otitis media
Acute myringitis without otitis media,F540.,Acute myringitis without otitis media
Attic perforation of tympanic membrane,F5422,Tympanic membrane attic perforation
Tympanic membrane perforation - less than 50%,F5426,"Tympanic membrane perforation, less than 50 %"
Malleus ankylosis,F5520,Malleus ankylosis
Ossicle ankylosis (excluding malleus),F5521,Ossicle ankylosis (excluding malleus)
Partial loss / necrosis of ossicles,F5523,Ear ossicle partial loss or necrosis
Cholesteatoma of middle ear and mastoid,F5533,Cholesteatoma of middle ear and mastoid
Old foreign body in middle ear,F55y1,Old foreign body in middle ear
Active cochleovestibular Ménière's disease,F5601,Active cochleovestibular Meniere's disease
Active cochlear Ménière's disease,F5602,Active cochlear Meniere's disease
Active vestibular Ménière's disease,F5603,Active vestibular Meniere's disease
Inactive Ménière's disease,F5604,Inactive Meniere's disease
Benign paroxysmal positional vertigo or nystagmus,F5611,Benign paroxysmal positional vertigo or nystagmus
Central positional nystagmus,F5620,Central positional nystagmus
Malignant positional vertigo,F5621,Malignant positional vertigo
Unilateral hyperactive labyrinthine dysfunction,F5651,Hyperactive unilateral labyrinthine dysfunction
Hyperactive bilateral labyrinthine dysfunction,F5652,Hyperactive bilateral labyrinthine dysfunction
Unilateral hypoactive labyrinthine dysfunction,F5653,Hypoactive unilateral labyrinthine dysfunction
Hypoactive bilateral labyrinthine dysfunction,F5654,Hypoactive bilateral labyrinthine dysfunction
Labyrinthine unilateral reactive loss,F5655,Labyrinthine unilateral reactive loss
Labyrinthine bilateral reactive loss,F5656,Labyrinthine bilateral reactive loss
Transient ischaemic deafness,F5802,Transient ischaemic deafness
Impaired auditory discrimination,F5843,Impaired auditory discrimination
Loudness recruitment,F5844,Loudness recruitment
Conductive hearing loss due to disorder of external ear,F5901,Conductive hearing loss due to disorder of external ear
Conductive hearing loss due to disorder of tympanic membrane,F5902,Conductive hearing loss due to disorder of tympanic membrane
Conductive hearing loss due to disorder of middle ear,F5903,Conductive hearing loss due to disorder of middle ear
Conductive hearing loss due to disorder of inner ear,F5904,Conductive hearing loss due to disorder of inner ear
"Conductive hearing loss, bilateral",F5905,"Conductive hearing loss, bilateral"
Unilateral conductive hearing loss with unrestricted hearing on the contralateral side,F5906,"Conduct hear loss,unilat+unrestric hearing on contralat side"
Combined conductive hearing loss,F590y,Combined conductive hearing loss
"Sensorineural hearing loss, bilateral",F5916,"Sensorineural hearing loss, bilateral"
Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side,F5917,"Sensorineurl hear loss,unilat unrestrict hear/contralat side"
Combined perceptive hearing loss,F591y,Combined perceptive hearing loss
Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side,F5920,"Mix cond/sensneurl hear loss,unlat unrestrc hear/contrlat sd"
"Mixed conductive and sensorineural hearing loss, bilateral",F5921,"Mixed conductive and sensorineural hearing loss, bilateral"
Postoperative pulmonary embolus,G4010,Post operative pulmonary embolus
Acute and subacute endocarditis,G51..,Acute and subacute endocarditis
Acute and subacute infective endocarditis associated with another disorder,G511.,Acute and subacute infective endocarditis in diseases EC
Acute myocarditis - toxoplasmosis,G5205,Acute myocarditis - toxoplasmosis
"Tricuspid valve disorder, non-rheumatic",G542.,"Tricuspid valve disorders, non-rheumatic"
Primary dilated cardiomyopathy,G5544,Primary dilated cardiomyopathy
Atrial fibrillation and flutter,G573.,Atrial fibrillation and flutter
Ruptured berry aneurysm,G600.,Ruptured berry aneurysm
Subarachnoid haemorrhage from vertebral artery,G606.,Subarachnoid haemorrhage from vertebral artery
"Intracerebral hemorrhage, intraventricular",G617.,"Intracerebral haemorrhage, intraventricular"
"Intracerebral haemorrhage, multiple localised",G618.,"Intracerebral haemorrhage, multiple localized"
Non-traumatic subdural hemorrhage,G621.,Subdural haemorrhage - nontraumatic
Vertebral artery occlusion,G632.,Vertebral artery occlusion
Cerebral infarction due to thrombosis of cerebral arteries,G6400,Cerebral infarction due to thrombosis of cerebral arteries
Posterior cerebral artery syndrome,G662.,Posterior cerebral artery syndrome
Cerebellar stroke syndrome,G664.,Cerebellar stroke syndrome
Left sided cerebral hemisphere cerebrovascular accident,G667.,Left sided CVA
Right sided cerebral hemisphere cerebrovascular accident,G668.,Right sided CVA
Non-pyogenic venous sinus thrombosis,G676.,Nonpyogenic venous sinus thrombosis
"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",G6760,"Cereb infarct due cerebral venous thrombosis, nonpyogenic"
Occlusion and stenosis of cerebellar arteries,G6773,Occlusion and stenosis of cerebellar arteries
Late effects of cerebrovascular disease,G68X.,"Sequelae of stroke,not specfd as h'morrhage or infarction"
Sequelae of cerebral infarction,G683.,Sequelae of cerebral infarction
Ulnar artery aneurysm,G7202,Aneurysm of ulnar artery
Peripheral gangrene,G732.,Peripheral gangrene
Gangrene of toe,G7320,Gangrene of toe
Gangrene of foot,G7321,Gangrene of foot
Gangrene of thumb,G7323,Gangrene of thumb
Embolism and thrombosis of an arm or leg artery,G742.,Embolism and thrombosis of an arm or leg artery
Embolism and thrombosis of the popliteal artery,G7425,Embolism and thrombosis of the popliteal artery
Spider nevus,G7710,Spider naevus
Phlebitis and thrombophlebitis,G80..,Phlebitis and thrombophlebitis
Superficial thrombophlebitis of long saphenous vein,G8003,Thrombophlebitis of the long saphenous vein
Varicose veins of the leg with rupture,G833.,Varicose veins of the leg with rupture
Infected varicose ulcer,G835.,Infected varicose ulcer
Acute respiratory infections,H0...,Acute respiratory infections
Allergic pharyngitis,H025.,Allergic pharyngitis
Acute erythematous tonsillitis,H030.,Acute erythematous tonsillitis
Acute lower respiratory tract infection,H062.,Acute lower respiratory tract infection
Fistula of nasal sinus,H134.,Fistula of nasal sinus
Pharynx or nasopharynx edema,H1y24,Pharynx or nasopharynx oedema
Pneumonia and influenza,H2...,Pneumonia and influenza
Legionella pneumonia,H22y2,Pneumonia - Legionella
Acute exacerbation of chronic obstructive airways disease,H3y1.,"Chron obstruct pulmonary dis wth acute exacerbation, unspec"
Asthma,H33..,Asthma
Mixed asthma,H332.,Mixed asthma
Air-conditioner and humidifier lung,H35y8,Air-conditioner and humidifier lung
Chronic obstructive pulmonary disease with acute lower respiratory infection,H3y0.,Chronic obstruct pulmonary dis with acute lower resp infectn
Pneumoconiosis associated with tuberculosis,H450.,Pneumoconiosis associated with tuberculosis
Bronchitis and pneumonitis due to chemical fumes,H460.,Bronchitis and pneumonitis due to chemical fumes
Acute bronchitis due to chemical fumes,H4600,Acute bronchitis due to chemical fumes
Acute pneumonitis due to chemical fumes,H4601,Acute pneumonitis due to chemical fumes
Upper respiratory inflammation due to chemical fumes,H462.,Upper respiratory inflammation due to chemical fumes
Chronic emphysema due to chemical fumes,H4640,Chronic emphysema due to chemical fumes
Toxic bronchiolitis obliterans,H4641,Obliterative bronchiolitis due to chemical fumes
Chronic pulmonary fibrosis due to chemical fumes,H4642,Chronic pulmonary fibrosis due to chemical fumes
Drug-induced interstitial lung disorder,H4y2.,Drug-induced interstitial lung disorders
Pleurisy,H51..,Pleurisy
Spontaneous tension pneumothorax,H520.,Spontaneous tension pneumothorax
Diffuse interstitial pulmonary fibrosis,H5631,Diffuse pulmonary fibrosis
Choking due to airways obstruction,H5C..,Choking due to airways obstruction
Gingival and edentulous alveolar ridge lesion associated with trauma,J03y7,Gingival & edentulous alveolar ridge les assoc with traum
Dentofacial anomaly,J04..,Dentofacial anomalies
Soft tissue impingement,J042F,Soft tissue impingement
Impacted incisors,J0438,Impacted incisors
Impacted permanent canine tooth,J0439,Impacted canines
Impacted premolars,J043A,Impacted premolars
Impacted molars,J043B,Impacted molars
Impacted third molar tooth,J043C,Impacted wisdom teeth
Embedded teeth,J043E,Embedded teeth
Loss of teeth due to an accident,J0510,Loss of teeth due to an accident
Abscess of submandibular gland,J0731,Abscess of submandibular gland
Cellulitis of floor of mouth,J0830,Cellulitis of floor of mouth
Ludwig's angina,J0833,Ludwig's angina
Cyst of oral soft tissue,J084.,Cysts of oral soft tissue
Lip biting,J08z1,Lip biting
Mouth polyp,J08zA,Mouth polyp
Gastroduodenitis,J15..,Gastritis and duodenitis
Persistent vomiting,J162.,Persistent vomiting
Gastric spasm,J16y7,Gastric spasm
Drug-induced gastrointestinal disturbance,J16z1,Drug induced gastrointestinal disturbance
Acquired pyloric stricture,J1702,Acquired pyloric stricture
Acute appendicitis with peritonitis,J200.,Acute appendicitis with peritonitis
Obstructed inguinal hernia,J301.,Inguinal hernia with obstruction
Irreducible inguinal hernia,J302.,Inguinal hernia - irreducible
Bilateral irreducible inguinal hernia,J3022,Bilateral inguinal hernia - irreducible
Bilateral recurrent irreducible inguinal hernia,J3023,Bilateral recurrent inguinal hernia - irreducible
Obstructed femoral hernia,J311.,Femoral hernia with obstruction
Irreducible femoral hernia,J312.,Femoral hernia - irreducible
Bilateral irreducible femoral hernia,J3122,Bilateral femoral hernia - irreducible
Bilateral recurrent irreducible femoral hernia,J3123,Bilateral recurrent femoral hernia - irreducible
Omphalocele with gangrene,J3200,Omphalocoele with gangrene
Obstructed umbilical hernia,J321.,Umbilical hernia with obstruction
Paraumbilical hernia with obstruction,J3211,Paraumbilical hernia with obstruction
Irreducible umbilical hernia,J322.,Umbilical hernia - irreducible
Omphalocele - irreducible,J3220,Omphalocoele - irreducible
Paraumbilical hernia - irreducible,J3221,Paraumbilical hernia - irreducible
Epigastric hernia with gangrene,J3302,Epigastric hernia with gangrene
Incisional hernia with obstruction,J3311,Incisional hernia with obstruction
Obstructed epigastric hernia,J3312,Epigastric hernia with obstruction
Irreducible incisional hernia,J3321,Incisional hernia - irreducible
Irreducible epigastric hernia,J3322,Epigastric hernia - irreducible
Obstructed diaphragmatic hernia,J341.,Diaphragmatic hernia with obstruction
Irreducible diaphragmatic hernia,J342.,Diaphragmatic hernia - irreducible
Gluteal hernia,J35..,Gluteal hernia
Gluteal hernia with gangrene,J350.,Gluteal hernia with gangrene
Obstructed gluteal hernia,J351.,Gluteal hernia with obstruction
Irreducible gluteal hernia,J352.,Gluteal hernia - irreducible
Irreducible ischiorectal hernia,J362.,Ischiorectal hernia - irreducible
Irreducible lumbar hernia,J372.,Lumbar hernia - irreducible
Irreducible obturator hernia,J382.,Obturator hernia - irreducible
Sciatic hernia with gangrene,J3A0.,Sciatic hernia with gangrene
Irreducible sciatic hernia,J3A2.,Sciatic hernia - irreducible
Retroperitoneal hernia - irreducible,J3B2.,Retroperitoneal hernia - irreducible
Spigelian hernia with gangrene,J3C0.,Spigelian hernia with gangrene
Obstructed Spigelian hernia,J3C1.,Spigelian hernia with obstruction
Irreducible Spigelian hernia,J3C2.,Spigelian hernia - irreducible
Secondary intussusception,J500x,Secondary intussusception
Pseudo-obstruction of gastrointestinal tract,J5011,Pseudoobstruction
Subacute intestinal obstruction,J50z5,Subacute intestinal obstructuon
Perforated diverticulum of intestine,J512.,Perforated diverticulum
Perforated diverticulum of duodenum,J5120,Perforated diverticulum of duodenum
Perforated diverticulum of ileum,J5122,Perforated diverticulum of ileum
Constipation - functional,J520.,Constipation - functional
Vomiting after gastrointestinal tract surgery,J523.,Vomiting after gastrointestinal tract surgery
Diarrhoea after gastrointestinal tract surgery,J5240,Diarrhoea after gastrointestinal tract surgery
Anal fissure and fistula,J53..,Anal fissure and fistula
Postprocedural pelvic peritoneal adhesions,J560F,Postprocedural pelvic peritoneal adhesions
Stenosis of rectum and anus,J572.,Stenosis of rectum and anus
Perianal infection,J574G,Perianal infection
Enterocutaneous fistula,J57y1,Enterocutaneous fistula
Colonic fistula,J57y6,Colonic fistula
Acute hepatic failure,J6000,Acute hepatic failure
Acute hepatitis - non-infective,J6001,Acute hepatitis - noninfective
Toxic liver disease,J635.,Toxic liver disease
Toxic liver disease with cholestasis,J6350,Toxic liver disease with cholestasis
Toxic liver disease with acute hepatitis,J6352,Toxic liver disease with acute hepatitis
Post-cholecystectomy bile leakage,J66y7,Post cholecystectomy bile leakage
Acute pancreatitis,J670.,Acute pancreatitis
Cyst and pseudocyst of pancreas,J672.,Cyst and pseudocyst of pancreas
Anxiety disorder,Eu41.,[X]Other anxiety disorders
Impaired renal function disorder,K08y.,Other impaired renal function disorder
Postoperative ureteric constriction,K1330,Postoperative ureteric constriction
Renal artery hemorrhage,K1381,Renal artery haemorrhage
Intrarenal hematoma,K1383,Intrarenal haematoma
Ureteric fistula,K13y0,Ureteric fistula
Perinephric hematoma,K13y8,Perirenal haematoma
Bladder sphincter paralysis,K1651,Bladder sphincter paralysis
Ulcer of urethral meatus,K17y5,Urethral meatal ulcer
Postoperative urinary tract infection,K1902,Post operative urinary tract infection
Recurrent urinary tract infection,K1903,Recurrent urinary tract infection
Chronic urinary tract infection,K1904,Chronic urinary tract infection
Painless hematuria,K1970,Painless haematuria
Painful hematuria,K1971,Painful haematuria
Microscopic hematuria,K1972,Microscopic haematuria
Clot haematuria,K1974,Clot haematuria
Orchitis and epididymitis,K242.,Epididymo-orchitis
Corpus cavernosum hematoma,K2751,Corpus cavernosum haematoma
Edema of penis,K27y0,Oedema of penis
Torsion of appendix of testis,K2823,Torsion of appendix of testis
Scrotal hematoma due to non-traumatic cause,K2860,Scrotal haematoma due to nontraumatic cause
Spermatic cord stricture,K2880,Spermatic cord stricture
Breast infection,K3108,Breast infection
Breast haematoma due to non-traumatic cause,K31y0,Breast haematoma due to nontraumatic cause
Female pelvic inflammatory disease,K40z.,Female pelvic inflammatory diseases NOS
Subacute endometritis,K4105,Subacute endometritis
Anxiety state,E200.,Anxiety states
Old uterine laceration due to obstetric cause,K54y3,Old uterine laceration due to obstetric cause
Old laceration of vulva,K5740,Old laceration of vulva
Dyspareunia due to non-psychogenic cause in the female,K580.,Dyspareunia due to non psychogenic cause in the female
"Complication of pregnancy, childbirth and/or the puerperium",L....,"Complications of pregnancy, childbirth and the puerperium"
Ruptured tubal pregnancy,L0311,Gravid fallopian tube rupture
"Readmission for retained products of conception, spontaneous abortion",L097.,Readmission for abortive pregnancy (NHS codes)
"Mental disorders during pregnancy, childbirth and the puerperium",L184.,"Mental disorders in pregnancy, childbirth and the puerperium"
Continuing pregnancy after intrauterine death of one or more fetuses,L192.,Continuing preg after intrauterine death one fetus or more
"Subluxation of symphysis pubis in pregnancy, childbirth and the puerperium",L1A..,Sublux of symphysis pubis in preg childbirth and puerp
"Uterine scar from previous surgery in pregnancy, childbirth and the puerperium",L242.,Uterine scar from previous surgery in pregnancy/childb/puerp
Fetus with drug damage,L255.,Fetus with drug damage
Fetus with drug damage with antenatal problem,L2552,Fetus with drug damage with antenatal problem
Intrauterine death - delivered,L2641,Intrauterine death - delivered
Intrauterine death with antenatal problem,L2642,Intrauterine death with antenatal problem
Retained intrauterine contraceptive device in pregnancy,L2D..,Retained intrauterine contraceptive device in pregnancy
Complication occurring during labor and delivery,L3...,Complications occurring during labour and delivery
Obstructed labor,L30z.,Obstructed labour NOS
Shoulder dystocia - delivered,L3051,Shoulder dystocia - delivered
Second degree perineal tear during delivery - delivered,L3411,Second degree perineal tear during delivery - delivered
Second degree perineal tear during delivery with postnatal problem,L3412,Second degree perineal tear during delivery with p/n prob
Third degree perineal tear during delivery - delivered,L3421,Third degree perineal tear during delivery - delivered
Third degree perineal tear during delivery with postnatal problem,L3422,Third degree perineal tear during delivery with p/n problem
Fourth degree perineal tear during delivery - delivered,L3431,Fourth degree perineal tear during delivery - delivered
Fourth degree perineal tear during delivery with postnatal problem,L3432,Fourth degree perineal tear during delivery with p/n problem
Obstetric high vaginal laceration,L3540,Obstetric high vaginal laceration unspecified
Obstetric high vaginal laceration - delivered,L3541,Obstetric high vaginal laceration - delivered
Obstetric high vaginal laceration with postnatal problem,L3542,Obstetric high vaginal laceration with postnatal problem
Obstetric trauma causing pelvic hematoma,L357.,Obstetric trauma causing pelvic haematoma
Retained portion of placenta or membranes with no haemorrhage,L371.,Retained portion of placenta or membranes - no haemorrhage
Complications of anesthesia during labor and delivery,L38..,Complications of anaesthesia during labour and delivery
Obstetric spinal and epidural anesthesia-induced headache,L384.,Obstetric spinal and epidural anaesthesia-induced headache
Spinal and epidural anaesthesia-induced headache during pregnancy,Lyu27,[X]Oth complicatns/spinal+epidural anaesthsia during pregncy
Spinal and epidural anaesthesia-induced headache during labour and delivery,L387.,Spinal/epidural anesth-induced headache dur labour/delivery
Infection of obstetric surgical wound,L3945,Infection of obstetric surgical wound
Death from any obstetric cause occurring more than 42 days but less than one year after delivery,L39A.,Death obst cse occur more 42 day less than one yr aft deliv
Death from sequela of direct obstetric cause,L39B.,Death from sequelae of direct obstetric causes
Haemorrhoids in pregnancy and the puerperium,L416.,Haemorrhoids in pregnancy and the puerperium
Obstetric pulmonary embolism,L43y.,Other obstetric pulmonary embolism
Obstetric blood-clot pulmonary embolism,L432.,Obstetric blood-clot pulmonary embolism
Carbuncle of back,M0022,Carbuncle of back
Carbuncle of elbow,M0033,Carbuncle of elbow
Carbuncle of leg (excluding foot),M006.,Carbuncle of leg (excluding foot)
Carbuncle of lower leg,M0063,Carbuncle of lower leg
Boil of back,M0122,Boil of back
Boil of elbow,M0133,Boil of elbow
Cellulitis and abscess of finger and toe,M02..,Cellulitis and abscess of finger and toe
Cellulitis and abscess of finger,M020.,Cellulitis and abscess of finger
Finger web space infection,M0204,Finger web space infection
Pulp space infection of finger/thumb,M0205,Pulp space infection of finger/thumb
Cellulitis and abscess of toe,M021.,Cellulitis and abscess of toe
Cellulitis and abscess of face,M030.,Cellulitis and abscess of face
Cellulitis and abscess of chin,M0302,Cellulitis and abscess of chin
Cellulitis and abscess of forehead,M0304,Cellulitis and abscess of forehead
Cellulitis of face,M082.,Cellulitis of face
Cellulitis and abscess of trunk,M032.,Cellulitis and abscess of trunk
Cellulitis and abscess of chest wall,M0320,Cellulitis and abscess of chest wall
Cellulitis and abscess of breast,M0321,Cellulitis and abscess of breast
Cellulitis and abscess of back,M0322,Cellulitis and abscess of back
Cellulitis and abscess of abdominal wall,M0323,Cellulitis and abscess of abdominal wall
Cellulitis and abscess of flank,M0325,Cellulitis and abscess of flank
Cellulitis and abscess of groin,M0326,Cellulitis and abscess of groin
Cellulitis and abscess of shoulder,M0330,Cellulitis and abscess of shoulder
Cellulitis and abscess of axilla,M0331,Cellulitis and abscess of axilla
Cellulitis and abscess of upper arm,M0332,Cellulitis and abscess of upper arm
Cellulitis and abscess of elbow,M0333,Cellulitis and abscess of elbow
Cellulitis and abscess of forearm,M0334,Cellulitis and abscess of forearm
Cellulitis and abscess of wrist,M0341,Cellulitis and abscess of wrist
Cellulitis and abscess of buttock,M035.,Cellulitis and abscess of buttock
Cellulitis and abscess of hip,M0360,Cellulitis and abscess of hip
Cellulitis and abscess of thigh,M0361,Cellulitis and abscess of thigh
Cellulitis and abscess of knee,M0362,Cellulitis and abscess of knee
Cellulitis and abscess of lower leg,M0363,Cellulitis and abscess of lower leg
Cellulitis and abscess of ankle,M0364,Cellulitis and abscess of ankle
Cellulitis and abscess of heel,M0371,Cellulitis and abscess of heel
Cellulitis of foot due to diabetes mellitus,M0372,Cellulitis in diabetic foot
Pilonidal sinus with abscess,M062.,Pilonidal sinus with abscess
Scalp infection,M073.,Scalp infection
Inflammation of scar,M07y5,Inflammation of scar
Chronic paronychia,M087.,Chronic paronychia
Abscess of face,M090.,[X]Abscess of face
Abscess of limb,M094.,[X]Abscess of limb
Contact dermatitis due to chlorocompound,M1220,Contact dermatitis due to chlorocompound
Contact dermatitis due to cyclohexane,M1221,Contact dermatitis due to cyclohexane
Contact dermatitis due to ester,M1222,Contact dermatitis due to ester
Contact dermatitis due to glycol,M1223,Contact dermatitis due to glycol
Contact dermatitis due to hydrocarbon,M1224,Contact dermatitis due to hydrocarbon
Contact dermatitis due to ketone,M1225,Contact dermatitis due to ketone
Contact dermatitis due to keratolytic,M1233,Contact dermatitis due to keratolytics
Contact dermatitis due to acid,M1240,Contact dermatitis due to acids
Contact dermatitis due to alkali,M1242,Contact dermatitis due to alkalis
Contact dermatitis due to caustic,M1243,Contact dermatitis due to caustics
Contact dermatitis due to plants,M126.,Contact dermatitis due to plants
Contact dermatitis due to poison ivy,M1261,Contact dermatitis due to poison-ivy
Contact dermatitis due to poison oak,M1262,Contact dermatitis due to poison-oak
Sunburn of first degree,M1275,Sunburn of first degree
Sunburn of second degree,M1276,Sunburn of second degree
Sunburn of third degree,M1277,Sunburn of third degree
Berloque dermatitis,M1278,Photocontact dermatitis [berloque dermatitis]
Allergic contact dermatitis due to adhesive,M1280,Allergic contact dermatitis due to adhesives
Allergic contact dermatitis due to cosmetic,M1281,Allergic contact dermatitis due to cosmetics
Allergic contact dermatitis due to drug in contact with skin,M1282,Allergic contact dermatitis due drugs in contact with skin
Allergic contact dermatitis due to dye,M1283,Allergic contact dermatitis due to dyes
Allergic contact dermatitis due to food in contact with the skin,M1285,Allergic contact dermatitis due to food in contact with skin
Irritant contact dermatitis due to cosmetic,M1290,Irritant contact dermatitis due to cosmetics
Irritant contact dermatitis due to drug in contact with skin,M1291,Irritant contact dermatitis due drugs in contact with skin
Irritant contact dermatitis due to food in contact with skin,M1293,Irritant contact dermatitis due to food in contact with skin
"Irritant contact dermatitis due to plants, except food",M1294,"Irritant contact dermatitis due to plants, except food"
Contact dermatitis due to fur,M12y3,Contact dermatitis due to furs
Contact dermatitis due to preservatives,M12y9,Contact dermatitis due to preservatives
Contact dermatitis due to ultraviolet rays (excluding sunlight),M12yB,Contact dermatitis due to ultra-violet rays (excluding sun)
Contact dermatitis due to casting materials,M12yD,Contact dermatitis due to casting materials
Generalised skin eruption caused by drug and medicament,M1300,Generalized skin eruption due to drugs and medicaments
Localised skin eruption caused by drug and medicament,M1301,Localized skin eruption due to drugs and medicaments
Ingestion dermatitis due to food,M131.,Ingestion dermatitis due to food
Staphylococcal scalded skin syndrome,M15y0,Ritter's disease
Corn - lesion,M200.,Corns
Callosity,M201.,Callosity
Lymphedematous keratoderma,M2115,Lymphoedematous keratoderma
Atrophic spots of skin,M2132,Atrophic spots of skin
Skin tag,M21z1,Skin tag
Ingrowing great toenail,M2300,Ingrowing great toe nail
Ingrowing toenail (excluding great toe),M2301,Ingrowing toe nail (excluding great toe)
Ingrowing thumbnail,M2302,Ingrowing thumb nail
Ingrowing fingernail (excluding thumb),M2303,Ingrowing finger nail (excluding thumb)
Nail deformity,M231.,Nail deformity
Neuropathic ulcer of foot due to diabetes mellitus,M2711,Neuropathic diabetic ulcer - foot
Mixed diabetic ulcer - foot,M2712,Mixed diabetic ulcer - foot
Traumatic leg ulcer,M2716,Traumatic leg ulcer
Urticaria due to cold and heat,M282.,Urticaria due to cold and heat
Follicular cysts of skin and subcutaneous tissue,M2W..,"Follicular cyst of skin & subcutaneous tissue, unspecif"
Scar conditions and fibrosis of skin,M2y1.,Scar conditions and fibrosis of skin
Painful operation scar,M2y15,Painful operation scar
Pigmented skin lesion,M2yC.,Pigmented skin lesion
Drug-induced systemic lupus erythematosus,N0002,Drug-induced systemic lupus erythematosus
Systemic sclerosis induced by drugs and chemicals,N0012,Systemic sclerosis induced by drugs and chemicals
Staphylococcal arthritis and polyarthritis,N0108,Staphylococcal arthritis and polyarthritis
Pneumococcal arthritis and polyarthritis,N0109,Pneumococcal arthritis and polyarthritis
Sexually acquired reactive arthropathy of the shoulder region,N0111,Sexually acquired reactive arthropathy of shoulder region
Sexually acquired reactive arthropathy of the hand,N0114,Sexually acquired reactive arthropathy of the hand
Sexually acquired reactive arthropathy of the ankle and/or foot,N0117,Sexually acquired reactive arthropathy of the ankle and foot
Sexually acquired reactive arthropathy of multiple sites,N011x,Sexually acquired reactive arthropathy of multiple sites
Arthropathy in Behcet's syndrome of the shoulder region,N0121,Arthropathy in Behcet's syndrome of the shoulder region
Arthropathy in Behcet's syndrome of the hand,N0124,Arthropathy in Behcet's syndrome of the hand
Arthropathy in Behcet's syndrome of the pelvic region and thigh,N0125,Arthropathy in Behcet's syndrome of the pelvis/thigh
Arthropathy in Behcet's syndrome of the ankle and/or foot,N0127,Arthropathy in Behcet's syndrome of the ankle and foot
Arthropathy in Behcet's syndrome of multiple sites,N012x,Arthropathy in Behcet's syndrome of multiple sites
Post-dysenteric reactive arthropathy of the shoulder region,N0131,Postdysenteric reactive arthropathy of the shoulder region
Post-dysenteric reactive arthropathy of the hand,N0134,Postdysenteric reactive arthropathy of the hand
Post-dysenteric reactive arthropathy of the pelvic region and thigh,N0135,Postdysenteric reactive arthropathy of the pelvis/thigh
Post-dysenteric reactive arthropathy of the ankle and/or foot,N0137,Postdysenteric reactive arthropathy of the ankle and foot
Post-dysenteric reactive arthropathy of multiple sites,N013x,Postdysenteric reactive arthropathy of multiple sites
Seronegative arthritis secondary to Whipple's disease,N0148,Arthropathy in Whipple's disease
"Arthropathy associated with mycoses, of the shoulder region",N0161,"Arthropathy associated with mycoses, of the shoulder region"
